gene_id	colors
cpc54_10293	blue
cpc54_10294	grey
cpc54_10295	turquoise
cpc54_10296	yellow
cpc54_10297	skyblue
cpc54_10298	red
cpc54_10299	lightgreen
cpc54_103	grey
cpc54_1030	turquoise
cpc54_10300	lightcyan1
cpc54_10301	green
cpc54_10302	turquoise
cpc54_10303	cyan
cpc54_10308	brown
cpc54_10309	turquoise
cpc54_1031	grey
cpc54_10314	black
cpc54_10315	midnightblue
cpc54_10317	brown
cpc54_10318	brown
cpc54_10319	turquoise
cpc54_1032	turquoise
cpc54_10320	grey
cpc54_10321	royalblue
cpc54_10323	grey
cpc54_10324	grey
cpc54_10326	turquoise
cpc54_10327	brown
cpc54_10328	skyblue3
cpc54_1033	yellow
cpc54_10330	brown
cpc54_10331	mediumpurple3
cpc54_10332	blue
cpc54_10333	turquoise
cpc54_10335	brown
cpc54_10336	grey
cpc54_10337	turquoise
cpc54_10338	grey
cpc54_1034	blue
cpc54_10340	greenyellow
cpc54_10341	turquoise
cpc54_10344	bisque4
cpc54_10346	turquoise
cpc54_10347	turquoise
cpc54_10348	turquoise
cpc54_10350	magenta
cpc54_10351	cyan
cpc54_10352	pink
cpc54_10353	steelblue
cpc54_10354	blue
cpc54_10355	brown
cpc54_10356	green
cpc54_10357	lightcyan
cpc54_10359	turquoise
cpc54_1036	magenta
cpc54_10361	brown4
cpc54_10362	darkturquoise
cpc54_10363	turquoise
cpc54_10364	black
cpc54_10365	violet
cpc54_10366	yellow
cpc54_10368	darkred
cpc54_10369	turquoise
cpc54_1037	blue
cpc54_10370	purple
cpc54_10371	salmon
cpc54_10372	tan
cpc54_10373	turquoise
cpc54_10374	brown
cpc54_10376	black
cpc54_10377	yellow
cpc54_10379	darkorange2
cpc54_1038	green
cpc54_10380	turquoise
cpc54_10382	grey
cpc54_10383	turquoise
cpc54_10384	yellow
cpc54_10385	grey
cpc54_10388	orange
cpc54_10389	salmon4
cpc54_1039	lightgreen
cpc54_10390	salmon
cpc54_10391	pink
cpc54_10392	blue
cpc54_10393	greenyellow
cpc54_10394	grey
cpc54_10395	magenta
cpc54_10396	pink
cpc54_10397	greenyellow
cpc54_10398	turquoise
cpc54_104	turquoise
cpc54_1040	saddlebrown
cpc54_10402	ivory
cpc54_10403	lightcyan
cpc54_10404	yellow
cpc54_10405	brown
cpc54_10406	black
cpc54_10407	red
cpc54_10408	grey
cpc54_1041	brown
cpc54_10411	steelblue
cpc54_10412	black
cpc54_10413	yellowgreen
cpc54_10420	brown
cpc54_10422	grey
cpc54_10423	purple
cpc54_10424	purple
cpc54_10425	yellow
cpc54_10426	grey
cpc54_10427	red
cpc54_10428	turquoise
cpc54_10429	cyan
cpc54_1043	purple
cpc54_10431	blue
cpc54_10433	grey
cpc54_10435	pink
cpc54_10436	turquoise
cpc54_10437	turquoise
cpc54_10438	greenyellow
cpc54_10439	grey
cpc54_1044	cyan
cpc54_10440	lightgreen
cpc54_10441	purple
cpc54_10443	brown
cpc54_10444	pink
cpc54_10445	turquoise
cpc54_10447	grey
cpc54_1045	salmon
cpc54_10450	brown
cpc54_10451	grey
cpc54_10452	grey
cpc54_10457	grey
cpc54_10458	paleturquoise
cpc54_1046	blue
cpc54_10463	grey
cpc54_10464	paleturquoise
cpc54_10465	paleturquoise
cpc54_10467	paleturquoise
cpc54_10468	grey
cpc54_10469	turquoise
cpc54_1047	turquoise
cpc54_10470	blue
cpc54_10471	green
cpc54_10472	grey
cpc54_10473	grey
cpc54_10474	paleturquoise
cpc54_10475	magenta
cpc54_10476	paleturquoise
