sequence	cg	chg	gene	classification
cpc54_1006.1	0.2527821429	0.004227848101	cpc54_1006	gbM
cpc54_10060.1	0.5828056743717023	0.005572962665278695	cpc54_10060	gbM
cpc54_10061.1	0.670770266572658	0.017200526854410512	cpc54_10061	gbM
cpc54_10062.1	0.9762227813953488	0.867090396340372	cpc54_10062	teM
cpc54_10063.1	0.9621814680232559	0.7354171729651163	cpc54_10063	teM
cpc54_10064.1	0.5926240538188048	0.011667413922839912	cpc54_10064	gbM
cpc54_10065.1	0.6383478195806899	0.018662789658749106	cpc54_10065	gbM
cpc54_10066.1	0.36595090792877766	0.00951449094185563	cpc54_10066	gbM
cpc54_10067.1	0.8466483871	0.006070560748	cpc54_10067	gbM
cpc54_10068.1	0.6818619843049327	0.006181371017993274	cpc54_10068	gbM
cpc54_10068.2	0.6094300095147478	0.0055045127954804944	cpc54_10068	gbM
cpc54_10069.1	0.9090082584269662	0.8135390764485393	cpc54_10069	teM
cpc54_1007.1	0.7981161745126041	0.008528482640381209	cpc54_1007	gbM
cpc54_1007.2	0.7962810738410739	0.009191996978413422	cpc54_1007	gbM
cpc54_10070.1	0.8361976506782792	0.8743375250731374	cpc54_10070	teM
cpc54_10071.1	0.5209565934065934	0.898384410181448	cpc54_10071	teM
cpc54_10072.1	0.9545499999999999	0.9156232558	cpc54_10072	teM
cpc54_10073.1	0.9522975	0.8814142857	cpc54_10073	teM
cpc54_10074.1	0.78893569140463915	0.8388553180359534	cpc54_10074	teM
cpc54_10074.2	0.7913555369808918	0.8408170192705094	cpc54_10074	teM
cpc54_10075.1	0.9272916666999999	0.9139076922999999	cpc54_10075	teM
cpc54_10076.1	0.7118932904289151	0.011219284290019811	cpc54_10076	gbM
cpc54_10077.1	0.34028393881449054	0.005856054812272466	cpc54_10077	gbM
cpc54_10078.1	0.18759092726984924	0.0041026475660134	cpc54_10078	ambiguous
cpc54_10078.2	0.18254569450709046	0.004788395430986145	cpc54_10078	ambiguous
cpc54_10079.1	0.010583394832361624	0.002503837638376384	cpc54_10079	UM
cpc54_1008.1	0.16755859787828892	0.010513260138071025	cpc54_1008	ambiguous
cpc54_10080.1	0.4675691706623241	0.004210572678046379	cpc54_10080	gbM
cpc54_10081.1	0.3182806098936232	0.17293585922	cpc54_10081	ambiguous
cpc54_10082.1	0.09566698426554973	0.007872418847891098	cpc54_10082	ambiguous
cpc54_10083.1	0.2898867871718001	0.010602021077637984	cpc54_10083	gbM
cpc54_10084.1	0.1581224138124138	0.045016192934689656	cpc54_10084	ambiguous
cpc54_10085.1	0.9028142857	0.01388421053	cpc54_10085	gbM
cpc54_10086.1	0.7475940116800682	0.01105665534270504	cpc54_10086	gbM
cpc54_10087.1	0.520541359247431	0.015358598249710144	cpc54_10087	gbM
cpc54_10088.1	0.529998330557084	0.015382882978964499	cpc54_10088	gbM
